"Mike Brown after a scorching 3-0 start to preseason this year said that he did not really run any plays for his team. On the surface you think that's crazy. But Mike Brown's offense is a read-and-react, motion offense largely built on Princeton principles. Sometimes the Knicks run a really, really, high pick and roll - 35 feet to see if they can catch guys sleeping and get Brunson down hill. Notice the **formation of players are already set up.** Wings deep, two guards high, with our X5 high and ready to play. **Think of it this way: The Knicks don't always use set plays**, but they have **SPOTS** -- they have **automatics.** Places you **NEED TO GO** once someone else exits that spot. When you're a high IQ player, knowing there are gaps to fill make your life and remembering what you're in that much easier. **The key to their Princeton action**: Point Formation: Big man/post player at the top. Two deep corner wings. Two high guard slot players. It's a very common 4 out-1 in (in is relative in this particular example, you can see plenty of what I'm talking about in all the other video links in this thread.) **KAT's decisions are simple.** * If this action occurs close enough to the 3, shoot the mf rock. * If they close out when he goes to shoot, attack the rack. He is one of the fastest, mobile bigs in the league as we saw blowby after blowby on Wemby in G1. * Dribble at the opposite guard. In standard Princeton, this is a backcut typically. In the following play, OG goes *over* KAT, KAT gets to do a little pseudo-screen on the trailing defender and it's an easy cut to the basket for a dunk. Again, this is a read and react situation. If OG backcuts that with NAW right in front of him, they will get nothing out of that action. Since NAW was all over him, he goes over instead and creates an advantage. * Flex action. One of the Knicks' favorite plays comes out of Point. **A Flex screen**. Again, Point is a formation - big man in the pinch post/up high, wings deep, guards in guard spots. Here Jalen enters into the pinch and cuts middle. He then sets a *Flex Screen* for OG. Sometimes if the defender trails this is an easy dump off to the cutter for a layup too. This is again a beautiful example of read and react: If OG's man follows perfectly, Brunson can cut back, or run a get action. Here's a great video on the Flex out of Point breakdown that the Knicks utilize. I tried to also find an added clip in season of when the Flex screener would stunt to get the ball and then back cut off his own Flex screen which was beautiful. As you can see, there are so many different actions that can occur. This system does not need set plays. It needs **smart, cohesive basketball players.** The forums, the social media, the discussions. Everybody memes on the Knicks' **power of friendship.** As a Varsity basketball coach, there is nothing more important than the power of friendship. Hear me out. **Power of friendship is just basketball chemistry.** * If he goes to set a screen, is he more likely to ghost it? If he pops on that, does he want the shot there? Or would he rather a get action where he gets the ball DHO and gets downhill? * If my big man dribbles at me and we're in point, does he usually want me to backcut? Do I go over the top of him? Point based offense like this is heavily dependent on knowing your teammates and knowing how to read their defender as well as yours. The fact that most of these guys have hundreds of thousands of reps with each other in the gym fortifies this strength and turns it into results. Princeton is nothing new. If you've watched Geno's historic UCONN Teams, you know that 85% of their offense is Princeton. But maybe what you don't know is it's the same with Mike Brown's teams. When the Kings were lighting the beam, he had arguably the second best passing big of the modern era on his team, and he took full advantage. Here attacking at the nail, here - this is a 'Jungle' (point action on the same overloaded side, and I won't be surprised to see KAT do this exact same thing: attacking off the bounce and looking for his own to collapse the defense. I think it's a misnomer to say the Knicks go large periods without play calls. It's more so that they have a structure to play in. This structure is free-flowing, ever changing and gives them the option to do 10 different things at a time. It lets basketball players be basketball players instead of putting them into X's and O's.",analysis,"Detailed tactical breakdown of Princeton-based motion offense with named formations, player roles, and decision trees; evidence is specific and verifiable."
"I find this really interesting as a Trail Blazers fan specifically because the team is in the middle of a head coach search, and how it pertains to Tiago Splitter who is a proponent of similar read and react offensive philosophies and the team very much had few set plays- by Tiago's own admission, something he felt came back to bite them in the postseason. He called our system ""the blender"", in the sense that every cut should be a movement through space where the vacuum left is filled by the next man and so-on. Due to injuries, the team wasn't really healthy enough to have the talent or continuity to run the systems Tiago wanted, so most of the season we wound up moving to a heliocentric 'put the ball in Deni's hands and let him cook' offense, and I wonder how Tiago would handle that if he got back in terms of balancing what he thinks philosophically vs the evidence that an old-school, 'give the rock to your star' offense was just more effective for the team last year. I do think read-and-react teams are the basketball ideal, like the Spurs beautiful mind 2013-2014 team Tiago was a part of, or the GSW dynasty built off Curry's and Klay's offball gravity whizzing around the floor, but I also think there is a demand on the players having both the talent, basketball acumen, and want to pull it off- if you've got a Jonathan Kuminga style 'turd in the punchbowl', you can quickly see that it takes certain kinds of players to thrive in these kinds of offense. I wonder if that's motivating the Brad Stevens esque coach to GM transitions, the degree to which personnel and roster-building decisions inform the on court product is arguably higher than ever, so you need your front office aligned in the vision and execution.",analysis,"Draws historical parallel to Tiago Splitter's coaching philosophy and its failure with young Trail Blazers; uses team-specific context as evidence."
"Yes and this is a historical problem with read-and-react offenses. It's rather easy to scout eventually. We ran a similar point-based motion offense and it got to a point in Playoffs where depending on what our players called, the opposing teams players would call it so they all knew what action they were trying to jam... i.e. we ran the exact Flex screen action that the Knicks run and they jammed it perfectly. Played every part of it perfectly. This is where our younger guys started breaking down and couldn't handle the pressure of trying to create something out of nothing. That's why people say in Playoffs you need a superstar -- a guy that can go 1-on-1, P&amp;R, and just cook. Injuries and stuff is so tough and de-rails the chemistry building process badly. Especially if it's a guy like Scoot, Camara.. the bigger cogs",analysis,"Explains how motion offense gets scouted over time using personal coaching experience as evidence; structured argument about system vulnerabilities."
"The Warriors have run something similar (in that it’s read and react and motion constantly without a lot of play calls) since Kerr became coach. I doubt that it’s coincidence that Brown has implemented his version. He’s said he learned not to micromanage the offense during his time with SF and to trust his players to make the right decisions.",analysis,"Makes a historical/causal argument linking Kerr and Brown's systems; cites Brown's own stated philosophy as evidence."
"Yup! Another bunch of incredibly high IQ guys. They run the same thing but out of the low post for Draymond due to how much more 3 pt spacing it gives them instead of looking for paint scoring opportunities like the Knicks do. They’ll often do their little dance on the perimeter and use the split screen as a drag screen for a 3 instead. It's actually probably more to do with the fact that Draymond is not a scoring threat from 3. They do run Horford out of the pinch post or on an overloaded wing-point action sometimes from what I can remember.",analysis,"Compares Knicks and Warriors implementations of similar motion systems with specific player and tactical differences cited."
"Pacers do the same thing. They just term it ""random basketball."" It's not really mind-blowing, it fits a faster paced game. Less setup, more intuition and reads. Heavily reliant on chemistry.",hot_take,"Makes a claim about the Pacers running the same system under a different name; stated as fact without detailed supporting evidence."
"Actually technically speaking by the way, the Pacers run a pistol/circle motion offense. It’s a bit more perimeter orientated and relies less on a big man who can create, rather perimeter shooters and perimeter players who can create.",analysis,"Provides specific tactical correction distinguishing Pacers pistol/circle motion from Princeton; names specific personnel roles as evidence."
"This is what Stephen Silas tried to do with the young Rockets core in Houston and fans absolutely flamed him for it. But the GM seems to have been behind the process, too, or he wouldn’t have let it go on for multiple seasons. In the end, it failed because the owner lost faith in it. Probably because Kevin Porter Jr is no Jalen Brunson and Fertitta didn’t allow his GM enough time to sign James Harden to come back into the lead guard role. But it’s absolutely the best way to run an offense in the modern NBA, imo. Take what the defense gives you and exploit it. Try to make plans, and it’s easier for them to get blown up.",analysis,"Traces the failure of Silas's similar system in Houston using multi-season organizational context (GM, owner, fans) as structured argument."
"They had a lot of egos to manage there too. Buy-in is so so so important.",hot_take,"Brief declarative claim about Rockets ego problems and the importance of buy-in; asserts without elaboration or verifiable evidence."
"It’s much more popular among coaches now to just have systems. You’ve got maybe a couple plays but the game breaks down and it’s a lot to keep track of.",hot_take,"Asserts a trend (coaches prefer systems over plays) without citing specific data or examples; confident statement without supporting evidence."
