"In 2022-2023 he played for the 76ers for 2 games with 3.3 minutes per game, and went to the Spurs and played 20.9 minutes a game for 15 games shooting 40.7% from 3. His shooting form is so smooth and when he's in rhythm I just feel like the ball will go in. And he holds his own when being targeted by SGA. It's more than pure luck that well-run teams like the Spurs and OKC knew to pick up Champagnie and McCain. I wonder how do they know which player to pick up. What do they assess? Do they scout every player who's been cut and analyse their game and work ethics? How do they know a player that's been cut by another team would work on their team? And how do the 76ers in this case, not know that Champagnie could turn out to be a great role player/ starter on a Finals team?","analysis","Post body: multi-part question grounded in specific stats (MPG, shooting %, games played) and cross-team comparison — structured analytical framing"
"You mentioned McCain, see also Isiah Joe. Sixers have fumbled quite a number of useful players. But I will say both OKC and SA are really incredible at DEVELOPING specific skills in players -- most notably shooting.","hot_take","Depth-0: bold opinion or claim asserted without specific verifiable evidence"
"I agree with everything but idk if shooting is a strong point of okc development. they lost this series and were taken to game 7 twice last year partially because they couldn’t really shoot well from three","hot_take","Depth-1 reply: bold opinion or claim asserted without specific verifiable evidence"
"To answer part of your question, no, teams don’t necessarily spend a lot of time scouting EVERY player, but if they see a guy who has attributes that entice them, they’ll do deep dives. Sometimes a team will scout a guy for 2+ full years before they’re able to acquire them. It’s really a combination of excellent scouting, accurately assessing a players value, and being patient enough to wait until the right time to make the move so you don’t overpay.","hot_take","Depth-0: bold opinion or claim asserted without specific verifiable evidence"
"Sometimes a team will scout a guy for 2+ full years before they’re able to acquire them. That's an interesting image of someone who observes a crush for 2 years from afar, then swoop in the moment the breakup happens. But yeah, Spurs are famously very good at identifying young reclamation projects, and produced many role players with decade long careers. Danny Green, Patty Mills, and Jonathan simmons off the top of my head. It helps that they always had a stable system, and when these guys come in they have a really specific role they are training for. Scout for the defensive IQ and attitude, then just teach them how to shoot. Then, BAM, You got a rotational player for a couple years.","hot_take","Depth-1 reply: bold opinion or claim asserted without specific verifiable evidence"
"The sixers were a 54 win team that year trying to win a title with Doc Rivers as a coach who notoriously does not play rookies or experiment with lineups really. The Spurs were a 22 win team who weren't trying to win so he could develop with no pressure. He's proven that he's a legit player but it is a lot easier to perform with no pressure or expectations. There's a lot of guys on tanking teams that get minutes that wouldn't normally and end up being or developing into quality contributors. You can't really blame the Sixers here because their timeline just didn't allow throwing unproven guys out there and hoping it works out","analysis","Depth-0: stat-backed structured argument with reasoning chain"
"I fundamentally disagree with this. Look at McCain. Nurse refused to get him on the floor, and when he did, ran no plays for him so McCain looked lost and like he had no idea what he was doing. He goes to the Thunder and immediately gets good minutes so Dagenault can create a role for him, so he knows what to do if he ends up playing important minutes. Any team can use regular season games to work on combinations with end of bench guys, seeing what they offer and figuring out how you might be able to use that guy for 5 minutes here and there. The Sixers have just had coaches who refuse to do it. There is no reason you can't throw a guy out there against a shit team and try some stuff out. Doc and Nurse just lack creativity and use their stars to get wins in the regular season with no thought for what happens if someone is injured, or sick, or too tired to get their game off when it matters.","hot_take","Depth-1 reply: bold opinion or claim asserted without specific verifiable evidence"
"The Sixers have, unfortunately, had 2 coaches in a row who flat out refuse to develop end of bench guys and instead play their stars non stop in the regular season. Which is annoying for 2 reasons; 1) Those guys will always end up getting cut or allowed to walk for nothing because they ""aren't contributing"" (and the Sixers response to this has been to go and get half dead veterans on the buyout market, like Dwayne Dedmon, George Hill, Greg Monroe, Amir Johnson, Reggie Jackson etc. Or in Champagnie's case, waived him so they could sign Mac McClung so he could compete in the dunk contest which is INSANE). 2) If they stay on the roster, they have no idea what their role is or how to fit in to the offense/defense because they haven't had any meaningful reps all season, so they look worse than they are and never get a shot.","hot_take","Depth-0: bold opinion or claim asserted without specific verifiable evidence"
"Spurs would have likely scouted him in college. Liked his measurements/frame and identified him as an archetype that they could develop into a useful player. Likely, they tried to sign him in FA but were unable to, so picked him up when they had a spot to fill and he became available.","hot_take","Depth-0: bold opinion or claim asserted without specific verifiable evidence"
"Towards the end of his Toronto tenure, Nick Nurse relied very heavily on his starters, and kept all reserves on a very short leash, and not given them any opportunities to develop. Seems like the same thing is happening in Philly?","hot_take","Depth-0: bold opinion or claim asserted without specific verifiable evidence"
